,2,3,4,5,6,7,8,9,10,A
4,H,H,H,H,S,H,H,H,H,H
5,S,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,H,H,H,H,H,H,H,H,H
10,H,H,H,H,D,H,H,H,H,H
11,H,H,H,H,D,H,D,H,H,H
12,H,H,Su,H,H,H,H,H,S,H
13,H,H,H,H,S,H,H,H,Su,Su
14,Su,H,H,H,S,Su,H,H,H,Su
15,S,S,Su,H,S,Su,H,H,Su,Su
16,S,Su,S,S,H,Su,Su,Su,Su,Su
17,S,D,S,S,S,S,Su,Su,Su,Su
18,S,S,S,S,Su,S,S,S,Su,Su
19,S,S,S,S,S,S,S,S,S,H
20,S,S,S,S,S,S,S,S,S,S
21,,,,,,,,,,
